X,Y,RxPow
-680.91,-59.184,-35.398
-1034.9,275.7,-25.811
-1071.7,-173.71,-29.236
-951.92,-125.19,-16.833
-1096.8,408.7,-37.999
-866.7,374.21,-31.002
-1355.1,413.88,-37.302
-720.13,-197.49,-37.407
-598.39,91.063,-38.612
-865.94,-321.3,-36.971
-1092.3,-415.9,-42.348
-1167.9,-20.144,-26.134
-1075,185.1,-22.944
-805.87,133.86,-23.001
-1230.8,392.5,-37.281
-339.88,740.3,-32.639
-347.73,904.52,-27.136
-917.27,759.8,-34.994
-937.23,1179.8,-38.779
-727.8,902.49,-20.063
-821.39,899.28,-28.037
-68.287,1112.7,-41.701
-148.33,1457.6,-38.578
21.037,1302.1,-38.109
-222.93,732.3,-35.217
-133.87,546.96,-40.13
-608.62,912.16,-14.579
-397.17,1579,-41.569
-604.7,1117.1,-28.947
-887.74,811.8,-32.687
-279.88,695.78,-32.013
25.599,1175.8,-41.103
-770.23,1291,-37.916
-799.36,656.54,-34.015
-625.6,922.69,-13.23
-344.36,1190.1,-36.443
-444.35,732.09,-17.53
-945.5,1093.9,-39.576
20.589,1105.3,-42.013
-598.37,509.14,-37.586
-53.942,786.85,-41.671
-402.82,612.64,-30.01
-649.86,491.09,-39.402
-580.14,1078.2,-23.462
-378.3,1051.2,-31.088
96.62,754.07,-35.986
-762.25,1460.2,-34.059
-814.98,724.71,-33.285
-609.72,840.41,-13.485
-598.94,869.7,-14.06
-792.53,1354.4,-35.732
-441.18,1204.4,-35.008
79.426,1141,-43.553
-248.19,1021.4,-37.75
-629.8,1441,-38.446
-139.13,927.23,-41.566
-332.45,1491.1,-42.625
-514.18,475.02,-38.331
-477.31,792.7,-16.887
125.2,1047.5,-40.195
-131.87,1499.4,-37.693
-251.68,624.57,-35.547
-87.671,827.37,-41.928
-482.07,1425.6,-41.287
-793.89,635.86,-36.051
-420.86,964.73,-18.305
-650.45,496.99,-37.024
-51.05,1351.3,-42.198
-422.7,806.84,-19.395
-364.88,873.6,-28.568
-168.39,575.47,-39.801
-447.03,1142.1,-36.512
-478.53,1038.8,-23.52
-191.24,959.85,-38.581
-162.54,1527.5,-35.534
-65.371,1006.6,-37.749
23.905,723.54,-38.535
-39.367,640.34,-42.019
-355.96,1233.4,-38.813
-713.18,1442.7,-38.93
-278.41,1040.8,-35.405
-131.19,610.85,-41.284
150.03,1127.1,-43.991
-868.42,1218.2,-39.537
-177.84,1169.3,-42.166
-129.93,532.07,-40.765
-198.55,979.67,-39.366
-34.482,964.93,-43.881
-77.311,1466.5,-36.263
-707.52,876.67,-20.473
-37.48,784.62,-40.84
-634.08,544.6,-36.978
-701.61,1323.3,-38.786
-690.95,676.27,-29.626
-568.76,463.87,-37.721
-844.93,1243,-39.288
-115.17,1084.3,-41.866
-551.36,1059.8,-24.503
-354.49,1553.8,-43.413
-229.35,732.55,-37.867
-48.111,1323.1,-41.156
-411,1184.4,-34.699
-312.23,750.31,-31.658
-968.54,982.35,-36.5
-332.83,1155.5,-39.37
-441.92,1178.8,-36.142
-763.58,575,-37.955
-353,976.72,-32.958
-828.66,977.27,-27.172
-625.11,857.51,-14.414
-489.34,998.34,-25.928
11.716,893.46,-39.874
-497.86,1369.6,-41.122
-678.76,696.76,-29.423
-507.4,1398.3,-42.054
454.19,797.66,-14.824
812.55,550.29,-39.943
688.68,898.74,-28.835
80.468,479.07,-39.218
700.94,1118.1,-35.254
410.77,312.27,-39.992
781.16,882.38,-34.441
794.4,489.14,-38.234
151.56,1205.4,-41.716
749.41,1145.3,-39.061
477.45,1290.2,-42.806
676.93,1146.9,-40.545
461.83,866.97,-15.014
809.6,649.82,-36.45
720.63,1063,-32.288
215.7,1091,-37.427
192.74,896.15,-33.235
879.65,774.33,-39.985
35.044,903.11,-40.819
514.33,1227.9,-40.377
898.33,1146.4,-42.613
428.32,1009.2,-25.91
403.15,1002.7,-26.163
437.33,317.64,-39.197
1008.9,782.12,-44.981
400.24,1059.3,-33.25
271.98,443.44,-39.857
585.52,238.46,-40.603
-20.504,852.81,-41.827
248.63,1174.9,-41.622
718.34,1186.9,-38.648
845.66,1014.5,-39.612
627.58,730.8,-22.272
747.57,1018.4,-31.126
339.35,466.05,-38.545
979.22,837.32,-43.747
353.03,1071.7,-34.893
901.66,675.97,-44.52
2.2475,917.62,-37.313
471.24,1169.3,-38.778
106.76,558.98,-39.832
379.02,502.35,-36.813
867.32,751.12,-42.16
635.45,1135.3,-38.42
560.71,1181,-36.187
781.07,939.89,-36.188
541.62,1000.3,-23.072
686.23,741.75,-23.915
467.71,947.68,-23.354
-55.131,579.01,-40.06
70.995,969.46,-40.909
429.51,285.97,-39.141
796.45,427.86,-38.87
289.28,1057.1,-37.376
102.14,1032.1,-41.972
569.29,215.04,-40.735
752.36,1059.5,-36.769
470.7,972.82,-24.589
834.11,702.12,-38.497
249.01,667.25,-36.122
892.79,594.14,-40.706
268.63,709.86,-32.82
629.25,394.48,-37.589
437.31,921.12,-17.579
60.951,439.94,-37.544
581.56,779.86,-14.361
36.426,1027.3,-39.504
519.81,475.93,-36.72
282.15,854.84,-22.598
59.819,440.49,-38.248
368.96,433.39,-40.294
730.01,325.8,-39.955
577.73,661.39,-17.709
958.05,589.17,-44.004
51.188,766.71,-38.542
846.57,820.06,-39.572
679.71,1160.3,-39.412
-48.849,531.4,-41.008
901.11,1088.3,-43.564
933.25,913.76,-42.737
424.6,666.77,-22.87
465.24,587.81,-30.618
548.62,369.49,-37.525
248.97,942.11,-33.363
432.86,737.2,-15.91
782.31,911.25,-34.708
27.182,1105.5,-41.139
590.59,1052.1,-31.139
665.85,750.07,-21.825
781.77,1026.3,-38.574
337.68,624.87,-31.158
922.4,533.39,-41.847
324.2,400.84,-38.467
596.15,283.78,-40.555
165.87,1213.7,-43.734
349.66,779.95,-17.798
674.87,581.41,-30.145
737.18,1162.8,-40.292
538.07,358.46,-39.392
740.57,524.77,-35.031
1886,489.36,-41.305
2099.3,131.89,-20.87
1664.6,442.27,-45.558
1549.2,52.488,-38.926
1589.7,-63.584,-39.623
1727.8,-341.44,-42.572
1934.5,-78.723,-21.279
2024.9,287.73,-22.543
1891.7,34.064,-17.954
1696.5,-292.1,-41.106
1668.7,-393.77,-42.321
1941.2,-441.61,-43.353
2068.6,-251.33,-34.585
1340.4,-74.972,-34.513
1669,289.79,-37.86
1492.6,-310.96,-41.542
2033.8,398.83,-32.139
2082.1,-309.38,-38.393
1523.8,142.22,-37.644
1591.2,-542.59,-35.606
1448.7,38.259,-38.921
1782.7,342.55,-39.01
1450.5,77.505,-39.48
2052.3,-377.81,-40.904
1409.3,114.42,-38.098
1877.1,-229.01,-38.722
2254.9,-29.68,-35.008
1679.7,-553.52,-36.053
2074.9,-92.961,-21.455
1516.5,-113.17,-40.918
1606.3,-144.98,-39.064
2014.8,-482.84,-44.618
2112,-395.68,-40.484
1852.2,273.2,-30.95
2355.6,30.072,-40.089
1890.5,368.59,-37.507
1657.7,343.86,-40.96
2210.3,-329.82,-33.442
2192.7,-340.36,-39.134
1665.7,278.05,-39.291
1771.4,172.7,-29.586
1506.8,19.851,-41.406
1767.2,-272.96,-40.889
2057.3,381.15,-31.118
1385.2,215.17,-35.035
1836.2,-32.864,-23.371
2161.7,-391.61,-41.802
1837.8,-518.53,-40.229
1244,80.676,-22.201
2209.1,-8.5774,-31.951
2027,-187.1,-30.175
2068.3,-68.109,-17.696
1643.3,-538.93,-38.248
2246.2,-90.7,-36.368
1572.4,-234.23,-42.723
2299.3,-260.81,-41.113
1487.4,155.19,-39.072
1911,165.71,-15.664
1529.8,-210.23,-40.982
1835.3,-78.806,-27.882
2302.3,107.39,-35.925
2356.7,21.279,-40.042
1347.5,-241.08,-38.803
1737.2,-117.63,-34.359
1835.1,-491.28,-39.723
1345.1,-103.13,-36.24
2099.2,-310.96,-37.698
2105.8,-346.86,-38.099
1437.9,355.54,-38.727
