NodeType	NodeID	X_Location	Y_Location	Z_Location	isIndoor
BS4	201	   250.068	  -1884.67	        25	         0
BS4	202	   250.068	  -1884.67	        25	         0
BS4	203	   250.068	  -1884.67	        25	         0
BS4	204	  -1094.19	  -1472.53	        25	         0
BS4	205	  -1094.19	  -1472.53	        25	         0
BS4	206	  -1094.19	  -1472.53	        25	         0
BS4	207	  -1561.48	  -860.618	        25	         0
BS4	208	  -1561.48	  -860.618	        25	         0
BS4	209	  -1561.48	  -860.618	        25	         0
BS4	210	  -1759.42	   144.789	        25	         0
BS4	211	  -1759.42	   144.789	        25	         0
BS4	212	  -1759.42	   144.789	        25	         0
BS4	213	  -1367.67	   1094.78	        25	         0
BS4	214	  -1367.67	   1094.78	        25	         0
BS4	215	  -1367.67	   1094.78	        25	         0
BS4	216	  -1038.08	   1423.78	        25	         0
BS4	217	  -1038.08	   1423.78	        25	         0
BS4	218	  -1038.08	   1423.78	        25	         0
BS4	219	   183.441	   1729.43	        25	         0
BS4	220	   183.441	   1729.43	        25	         0
BS4	221	   183.441	   1729.43	        25	         0
BS4	222	   1020.27	   2029.37	        25	         0
BS4	223	   1020.27	   2029.37	        25	         0
BS4	224	   1020.27	   2029.37	        25	         0
BS4	225	   1712.48	    614.27	        25	         0
BS4	226	   1712.48	    614.27	        25	         0
BS4	227	   1712.48	    614.27	        25	         0
UE1	228	   405.452	  -356.263	       1.5	         0
UE1	229	   386.744	  -253.174	       1.5	         0
UE1	230	     243.8	   151.418	       1.5	         0
UE1	231	  -106.286	   542.957	       1.5	         0
UE1	232	  -286.043	  -302.088	       1.5	         0
UE1	233	  -121.197	  -393.938	       1.5	         0
UE1	234	   363.104	  -154.454	       1.5	         0
UE1	235	   117.949	   370.023	       1.5	         0
UE1	236	  -183.525	   404.127	       1.5	         0
UE1	237	    480.82	  -132.313	       1.5	         0
UE1	238	  -223.304	   429.428	       1.5	         0
UE1	239	  -270.059	   187.002	       1.5	         0
UE1	240	  -108.079	  -222.642	       1.5	         0
UE1	241	   410.043	  -377.898	       1.5	         0
UE1	242	  -163.802	  -76.3835	       1.5	         0
UE1	243	   123.824	   368.854	       1.5	         0
UE1	244	   185.362	  -31.6063	       1.5	         0
UE1	245	   117.661	   81.5831	       1.5	         0
UE1	246	  -214.744	    281.93	       1.5	         0
UE1	247	    567.98	   -68.177	       1.5	         0
UE1	248	   380.783	  -287.326	       1.5	         0
UE1	249	  -526.174	   22.5327	       1.5	         0
UE1	250	   279.726	   390.937	       1.5	         0
UE1	251	  -88.9736	   385.002	       1.5	         0
UE1	252	  -63.4848	   277.501	       1.5	         0
UE1	253	   95.7384	   441.162	       1.5	         0
UE1	254	   429.307	  -148.248	       1.5	         0
UE1	255	   420.059	  -177.995	       1.5	         0
UE1	256	   172.329	  -492.482	       1.5	         0
UE1	257	  -328.376	  -127.897	       1.5	         0
UE1	258	   433.577	  -253.428	       1.5	         0
UE1	259	   255.246	  -480.418	       1.5	         0
UE1	260	   363.601	  -418.919	       1.5	         0
UE1	261	   256.112	  -82.3087	       1.5	         0
UE1	262	  -176.983	   528.015	       1.5	         0
UE1	263	   78.9824	   244.702	       1.5	         0
UE1	264	  -360.468	  -317.724	       1.5	         0
UE1	265	   495.057	   99.9371	       1.5	         0
UE1	266	  -247.461	    211.15	       1.5	         0
UE1	267	    44.162	   471.417	       1.5	         0
UE1	268	  -359.194	  -145.504	       1.5	         0
UE1	269	  -90.9573	   401.207	       1.5	         0
UE1	270	   245.294	   116.786	       1.5	         0
UE1	271	    360.61	   401.295	       1.5	         0
UE1	272	   465.561	   117.644	       1.5	         0
UE1	273	   9.52918	   563.849	       1.5	         0
UE1	274	  -150.373	    48.685	       1.5	         0
UE1	275	   180.277	  -268.362	       1.5	         0
UE1	276	   514.352	  -2.40898	       1.5	         0
UE1	277	  -310.319	  -61.8332	       1.5	         0
UE1	278	  -73.6756	  -488.003	       1.5	         0
UE1	279	  -337.003	   1.43781	       1.5	         0
UE1	280	  -374.772	   190.628	       1.5	         0
UE1	281	   406.419	   324.638	       1.5	         0
UE1	282	   196.515	  -274.551	       1.5	         0
UE1	283	    -368.1	   32.3351	       1.5	         0
UE1	284	   136.885	  -487.985	       1.5	         0
UE1	285	   467.542	  -262.939	       1.5	         0
UE1	286	   131.401	  -5.59277	       1.5	         0
UE1	287	  -7.49827	  -103.946	       1.5	         0
UE1	288	  -19.5878	  -572.568	       1.5	         0
UE1	289	   253.872	  -19.4494	       1.5	         0
UE1	290	   488.251	   196.467	       1.5	         0
UE1	291	  -141.293	  -7.69426	       1.5	         0
UE1	292	  -80.7213	  -82.3912	       1.5	         0
UE1	293	  -219.892	   262.866	       1.5	         0
UE1	294	    72.318	  -530.238	       1.5	         0
UE1	295	    -88.32	   -240.17	       1.5	         0
UE1	296	  -400.444	   326.163	       1.5	         0
UE1	297	   282.232	   16.6355	       1.5	         0
UE1	298	   251.756	   318.685	       1.5	         0
UE1	299	  -327.707	  -452.328	       1.5	         0
UE1	300	  -46.2868	   432.651	       1.5	         0
UE1	301	   93.3406	  -279.129	       1.5	         0
UE1	302	  -307.901	  -291.454	       1.5	         0
UE1	303	  -92.6753	   336.146	       1.5	         0
UE1	304	   -301.68	  -49.2387	       1.5	         0
UE1	305	  -410.989	  -162.469	       1.5	         0
UE1	306	    114.82	   98.2164	       1.5	         0
UE1	307	  -299.667	   -395.37	       1.5	         0
UE1	308	   39.1741	   31.8047	       1.5	         0
UE1	309	   453.302	   295.857	       1.5	         0
UE1	310	   345.071	  -377.612	       1.5	         0
UE1	311	    260.15	   136.265	       1.5	         0
UE1	312	  -144.616	  -88.1611	       1.5	         0
UE1	313	  -493.225	    2.6696	       1.5	         0
UE1	314	  -194.324	   -109.37	       1.5	         0
UE1	315	  -262.372	  -462.242	       1.5	         0
UE1	316	  -78.8566	  -387.286	       1.5	         0
UE1	317	   260.408	   211.988	       1.5	         0
UE1	318	    365.04	   20.8838	       1.5	         0
UE1	319	  -120.638	  -404.366	       1.5	         0
UE1	320	  -122.449	  -269.858	       1.5	         0
UE1	321	   371.698	   355.614	       1.5	         0
UE1	322	  -250.145	   439.549	       1.5	         0
UE1	323	  -374.373	  -81.4027	       1.5	         0
UE1	324	   73.9905	  -450.527	       1.5	         0
UE1	325	  -199.708	   417.658	       1.5	         0
UE1	326	  -309.753	   191.012	       1.5	         0
UE1	327	     472.5	   -330.76	       1.5	         0
UE1	328	  -363.949	   36.8439	       1.5	         0
UE1	329	  -18.5991	  -146.531	       1.5	         0
UE1	330	  -345.163	  -115.248	       1.5	         0
UE1	331	   256.857	  -153.912	       1.5	         0
UE1	332	   58.4399	  -64.6837	       1.5	         0
UE1	333	  -420.444	  -338.945	       1.5	         0
UE1	334	  -286.525	   147.391	       1.5	         0
UE1	335	  -159.606	   100.061	       1.5	         0
UE1	336	  -374.373	  -192.566	       1.5	         0
